Data Source in SDW: null
,SEC.M.AT.1000.F33200.N.1.Z01.E.Z,SEC.M.BE.1000.F33200.N.1.Z01.E.Z,SEC.M.BG.1000.F33200.N.1.Z01.E.Z,SEC.M.CY.1000.F33200.N.1.Z01.E.Z,SEC.M.CZ.1000.F33200.N.1.Z01.E.Z,SEC.M.DE.1000.F33200.N.1.Z01.E.Z,SEC.M.DK.1000.F33200.N.1.Z01.E.Z,SEC.M.EE.1000.F33200.N.1.Z01.E.Z,SEC.M.ES.1000.F33200.N.1.Z01.E.Z,SEC.M.FI.1000.F33200.N.1.Z01.E.Z,SEC.M.FR.1000.F33200.N.1.Z01.E.Z,SEC.M.GB.1000.F33200.N.1.Z01.E.Z,SEC.M.GR.1000.F33200.N.1.Z01.E.Z,SEC.M.HR.1000.F33200.N.1.Z01.E.Z,SEC.M.HU.1000.F33200.N.1.Z01.E.Z,SEC.M.I8.1000.F33200.N.1.Z01.E.Z,SEC.M.IE.1000.F33200.N.1.Z01.E.Z,SEC.M.IT.1000.F33200.N.1.Z01.E.Z,SEC.M.LT.1000.F33200.N.1.Z01.E.Z,SEC.M.LU.1000.F33200.N.1.Z01.E.Z,SEC.M.LV.1000.F33200.N.1.Z01.E.Z,SEC.M.MT.1000.F33200.N.1.Z01.E.Z,SEC.M.NL.1000.F33200.N.1.Z01.E.Z,SEC.M.PL.1000.F33200.N.1.Z01.E.Z,SEC.M.PT.1000.F33200.N.1.Z01.E.Z,SEC.M.RO.1000.F33200.N.1.Z01.E.Z,SEC.M.SE.1000.F33200.N.1.Z01.E.Z,SEC.M.SI.1000.F33200.N.1.Z01.E.Z,SEC.M.SK.1000.F33200.N.1.Z01.E.Z,SEC.M.U2.1000.F33200.N.1.Z01.E.Z
2018May,429773.000,554350.196,,19017.000,,2942975.000,,2120.000,1590644.000,220157.000,3447463.000,,70885.000,,,15523065.678,679735.438,2652528.340,13570.440,777160.251,9087.000,9408.510,1707507.529,,236765.230,,,29622.251,49762.244,15523065.678
2018Apr,428477.000,556457.446,,18932.000,,2927169.000,,1872.000,1583411.000,218714.000,3430434.000,,68878.000,,,15440384.548,673737.658,2643155.000,13565.412,763640.044,8398.000,9340.046,1700217.319,,235479.600,,,30365.276,49607.497,15440384.548
2018Mar,428189.000,552631.151,,16569.000,,2946859.000,,1872.000,1592158.000,218686.000,3422396.000,,68756.000,,,15439102.502,667210.535,2640519.410,13529.847,769333.600,8332.000,9431.007,1691094.854,,232996.460,,,30357.493,49646.895,15439102.502
2018Feb,426276.000,555168.110,,17109.000,,2931106.000,,1845.000,1583033.000,217733.000,3403826.000,,68567.000,,,15390079.184,686733.522,2629739.500,13580.678,765379.067,8704.000,9328.327,1681518.671,,231999.510,,,30512.185,49386.364,15390079.184
2018Jan,426416.000,555474.652,,17126.000,,2939759.000,,1846.000,1571446.000,211414.000,3405382.000,,65063.000,,,15374911.443,687486.000,2637686.800,14746.235,756725.360,8750.000,9325.600,1677750.508,,231482.300,,,30426.496,49069.792,15374911.443
2017Dec,430599.000,548943.490,12548.323,17739.000,98051.224,2934605.000,616657.040,1850.000,1569486.000,212246.000,3373523.000,4288867.599,63112.000,27272.177,75038.710,15352746.257,685953.219,2637429.920,14774.449,754759.802,9004.000,9141.112,1706949.612,252829.477,227029.690,49931.094,651283.143,29069.795,48995.468,15352746.257
2017Nov,430072.000,555727.064,,17842.000,,2964707.000,,1762.000,1563339.000,213369.000,3379153.000,,62975.000,,,15374428.838,681231.632,2630166.540,14754.524,756755.310,9108.000,9015.522,1702733.088,,226062.380,,,29709.802,48535.276,15374428.838
2017Oct,428092.000,558028.947,,17921.000,,2940364.000,,1741.000,1550645.000,212225.000,3364180.000,,61570.000,,,15353137.372,691240.113,2638273.970,14190.869,764869.878,9083.000,9336.077,1712112.828,,224880.610,,,29780.400,48248.481,15353137.372
2017Sep,429849.000,553613.088,,16416.000,,2943199.000,,1725.000,1550927.000,210445.000,3371541.000,,60214.000,,,15360548.098,686690.416,2639702.670,14062.954,766857.071,9006.000,9439.620,1713283.732,,229420.450,,,30940.679,46861.218,15360548.098
2017Aug,428602.000,556950.589,,18785.000,,2938334.000,,1705.000,1546083.000,212049.000,3348970.000,,60220.000,,,15329664.633,679460.392,2644142.580,14638.768,770010.064,9024.000,9433.470,1708441.806,,229730.340,,,30520.967,46209.457,15329664.633
2017Jul,427510.000,554177.374,,19281.000,,2920702.000,,1700.000,1548227.000,212398.000,3347326.000,,58144.000,,,15402150.666,686018.620,2676929.730,14790.319,783527.058,9037.000,9439.354,1748959.723,,228780.710,,,30555.897,46133.970,15402150.666
2017Jun,433401.000,555412.881,,19482.000,,2926246.000,,1691.000,1551317.000,214057.000,3363631.000,,64145.000,,,15408087.931,691070.588,2647063.970,14564.835,765077.514,9081.000,8949.088,1760574.573,,226729.280,,,30946.423,46134.868,15408087.931
2017May,433094.000,563275.892,,19429.000,,2933976.000,,1689.000,1544170.000,210862.000,3350824.000,,63888.000,,,15407613.487,676443.961,2651004.320,14673.688,771188.506,8752.000,8943.828,1773818.471,,228014.910,,,30979.316,45573.683,15407613.487
2017Apr,435226.000,556318.737,,20293.000,,2911021.000,,1670.000,1530609.000,213276.000,3312734.000,,63897.000,,,15343418.578,688162.533,2649531.830,13430.598,766172.566,8765.000,8857.942,1783756.124,,226372.670,,,30081.973,46229.694,15343418.578
2017Mar,431108.000,550016.070,,17789.000,,2918249.000,,1621.000,1537112.000,217978.000,3338322.000,,65306.000,,,15368202.760,683034.271,2652736.800,13476.635,751269.037,8804.000,8870.221,1793791.799,,224724.970,,,30577.615,46503.431,15368202.760
2017Feb,434458.000,554016.607,,17733.000,,2905788.000,,1624.000,1522380.000,216640.000,3331754.000,,65590.000,,,15358161.527,686356.844,2642295.390,13506.004,775364.042,8799.000,8816.020,1801500.480,,222833.210,,,30651.099,44292.920,15358161.527
2017Jan,443235.000,549817.601,,17320.000,,2904633.000,,1621.000,1520298.000,213297.000,3322665.000,,64745.000,,,15383252.981,682672.335,2654195.210,13524.481,765547.743,9055.000,8466.498,1840223.039,,224164.830,,,30560.461,43705.155,15383252.981
2016Dec,440928.000,543423.136,13596.625,16915.000,93685.261,2890563.000,619310.637,1620.000,1533727.000,218849.000,3297611.000,4439328.179,64766.000,26516.925,72996.014,15372567.925,690131.009,2633834.170,13589.143,749809.281,9125.000,8504.095,1888382.771,231106.954,222388.310,45286.630,666939.021,29388.009,45507.373,15372567.925
2016Nov,443808.000,545085.980,,16337.000,,2909418.000,,1626.000,1518239.000,218395.000,3302559.000,,66870.000,,,15392409.360,694499.791,2655811.760,13524.872,733440.138,9043.000,8522.564,1880507.770,,225061.070,,,30194.818,45958.970,15392409.360
2016Oct,439348.000,539580.498,,16273.000,,2895578.000,,1619.000,1517940.000,213768.000,3279221.000,,67079.000,,,15318388.698,713386.698,2646843.770,13337.281,722795.266,8960.000,8589.903,1859993.196,,223846.600,,,31298.538,46414.070,15318388.698
2016Sep,433357.000,537880.547,,15638.000,,2892513.000,,1608.000,1528622.000,213557.000,3280927.000,,66329.000,,,15279341.537,693957.328,2637140.400,13487.068,713918.973,8206.000,8371.997,1855138.869,,228033.300,,,31272.378,45994.299,15279341.537
2016Aug,445600.000,543594.008,,14879.000,,2890582.000,,1607.000,1524313.000,212876.000,3266547.000,,67533.000,,,15253480.190,679289.394,2651038.080,12990.191,707085.503,8171.000,8327.540,1839884.133,,230361.300,,,30792.638,45669.875,15253480.190
2016Jul,445803.000,543153.161,,15796.000,,2874654.000,,1613.000,1521108.000,213365.000,3259378.000,,67744.000,,,15257374.092,688857.153,2682705.970,12917.996,706127.116,8162.000,8262.098,1830159.132,,229014.740,,,30779.231,45724.968,15257374.092
2016Jun,446451.000,544424.530,,13903.000,,2887611.000,,1618.000,1531952.000,213368.000,3278716.000,,70505.000,,,15290706.307,714100.529,2679939.740,12863.373,690120.280,8271.000,8266.515,1814925.314,,231173.220,,,30773.364,45636.014,15290706.307
2016May,450316.000,541066.776,,13960.000,,2894289.000,,1615.000,1526138.000,214668.000,3256673.000,,75642.000,,,15276736.295,719456.335,2657139.880,12758.831,736417.090,8204.000,8304.763,1787944.781,,230080.630,,,30639.770,45334.011,15276736.295
2016Apr,449499.000,532013.751,,13410.000,,2869860.000,,1617.000,1511575.000,214100.000,3224955.000,,76237.000,,,15155079.208,717407.361,2652526.010,12657.178,745301.375,7471.000,8281.085,1751739.521,,228362.360,,,30342.281,44635.858,15155079.208
2016Mar,447919.000,529607.459,,13014.000,,2883810.000,,1627.000,1525702.000,217959.000,3229616.000,,78277.000,,,15181974.850,722480.739,2651659.930,12600.918,740400.983,7417.000,8131.601,1749671.224,,227140.910,,,30790.596,44091.062,15181974.850
2016Feb,449604.000,521413.964,,13131.000,,2867453.000,,1623.000,1526189.000,215727.000,3219537.000,,78623.000,,,15169134.739,726523.937,2650637.360,12737.477,759673.742,7492.000,8188.439,1758193.317,,225139.040,,,29796.567,43461.219,15169134.739
2016Jan,444101.000,522462.917,,13331.000,,2864769.000,,1622.000,1514853.000,216351.000,3221544.000,,78551.000,,,15227110.435,758137.807,2637704.340,13712.840,813285.409,7456.000,7969.486,1754218.065,,226722.650,,,30761.542,45596.701,15227110.435
2015Dec,442610.000,515554.518,11110.287,13130.000,93416.830,2869046.000,603213.223,1625.000,1532091.000,215636.000,3208139.000,4558315.962,80829.000,24957.450,73236.806,15242819.889,756639.122,2645310.510,13765.185,823702.675,7617.000,8087.071,1756117.227,211896.620,223957.600,41907.721,653206.921,30789.203,44293.101,15242819.889
2015Nov,441622.000,513458.105,,13697.000,,2938152.000,,1657.000,1525446.000,217709.000,3210614.000,,79093.000,,,15383405.974,809509.963,2693425.130,13921.830,774899.909,7829.000,8173.902,1776220.591,,222689.560,,,31542.344,44267.389,15383405.974
2015Oct,440966.000,509630.862,,14043.000,,2931247.000,,1652.000,1523627.000,215403.000,3188053.000,,77952.000,,,15326218.787,803387.675,2691843.190,13619.772,793608.616,7699.000,8107.730,1754403.866,,221850.010,,,31295.190,43851.626,15326218.787
2015Sep,441113.000,505206.110,,14260.000,,2932641.000,,1631.000,1538842.000,214705.000,3181712.000,,79437.000,,,15212752.451,743261.372,2682401.440,11922.620,747678.359,7536.000,8023.038,1752544.698,,224160.070,,,31050.536,43648.958,15212752.451
2015Aug,438395.000,513760.797,,14787.000,,2919377.000,,1572.000,1536797.000,210033.000,3176724.000,,80435.000,,,15247779.087,813080.222,2679361.010,11736.426,729353.498,7089.000,7530.146,1769816.065,,221161.360,,,30791.711,44000.602,15247779.087
2015Jul,437799.000,515787.208,,14898.000,,2909046.000,,1565.000,1531085.000,211069.000,3181555.000,,83622.000,,,15301832.404,826277.399,2698056.070,11860.130,752046.180,7154.000,7530.040,1773019.050,,221100.340,,,30383.393,44136.344,15301832.404
2015Jun,448776.000,512423.515,,14817.000,,2915612.000,,1571.000,1541438.000,215708.000,3187725.000,,92925.000,,,15343452.468,821386.154,2710606.500,11692.602,747911.562,6995.000,7502.035,1772236.183,,219250.440,,,28926.214,44107.013,15343452.468
2015May,448509.000,509581.736,,15791.000,,2933467.000,,1518.000,1543948.000,216447.000,3181197.000,,102155.000,,,15367023.689,819035.981,2742750.490,11739.495,722111.584,6994.000,7487.077,1767558.455,,221820.950,,,29193.029,43875.641,15367023.689
2015Apr,446579.000,507312.757,,14251.000,,2938571.000,,1519.000,1532828.000,213492.000,3159957.000,,103812.000,,,15289070.461,815704.018,2730583.930,11579.588,727236.610,6862.000,7201.145,1737983.567,,218964.860,,,29137.864,43651.872,15289070.461
