Data Source in SDW: null
,SEC.M.AT.1000.F33200.N.1.Z01.E.Z,SEC.M.BE.1000.F33200.N.1.Z01.E.Z,SEC.M.BG.1000.F33200.N.1.Z01.E.Z,SEC.M.CY.1000.F33200.N.1.Z01.E.Z,SEC.M.CZ.1000.F33200.N.1.Z01.E.Z,SEC.M.DE.1000.F33200.N.1.Z01.E.Z,SEC.M.DK.1000.F33200.N.1.Z01.E.Z,SEC.M.EE.1000.F33200.N.1.Z01.E.Z,SEC.M.ES.1000.F33200.N.1.Z01.E.Z,SEC.M.FI.1000.F33200.N.1.Z01.E.Z,SEC.M.FR.1000.F33200.N.1.Z01.E.Z,SEC.M.GB.1000.F33200.N.1.Z01.E.Z,SEC.M.GR.1000.F33200.N.1.Z01.E.Z,SEC.M.HR.1000.F33200.N.1.Z01.E.Z,SEC.M.HU.1000.F33200.N.1.Z01.E.Z,SEC.M.I8.1000.F33200.N.1.Z01.E.Z,SEC.M.IE.1000.F33200.N.1.Z01.E.Z,SEC.M.IT.1000.F33200.N.1.Z01.E.Z,SEC.M.LT.1000.F33200.N.1.Z01.E.Z,SEC.M.LU.1000.F33200.N.1.Z01.E.Z,SEC.M.LV.1000.F33200.N.1.Z01.E.Z,SEC.M.MT.1000.F33200.N.1.Z01.E.Z,SEC.M.NL.1000.F33200.N.1.Z01.E.Z,SEC.M.PL.1000.F33200.N.1.Z01.E.Z,SEC.M.PT.1000.F33200.N.1.Z01.E.Z,SEC.M.RO.1000.F33200.N.1.Z01.E.Z,SEC.M.SE.1000.F33200.N.1.Z01.E.Z,SEC.M.SI.1000.F33200.N.1.Z01.E.Z,SEC.M.SK.1000.F33200.N.1.Z01.E.Z,SEC.M.U2.1000.F33200.N.1.Z01.E.Z
2006Apr,341195.000,297771.037,,10371.528,,2859830.000,,-,837048.000,89690.000,1665911.000,,192453.000,,,9623839.227,,1849050.272,,66969.677,,3404.000,1129216.393,,108446.420,,,8568.701,13331.810,9588163.189
2006Mar,336431.000,300562.032,,10206.597,,2853825.000,,-,828551.000,90853.000,1667620.000,,189871.000,,,9586875.739,,1846807.695,,67357.877,,3488.926,1115363.307,,107289.590,,,8447.871,13255.380,9551476.964
2006Feb,333135.000,296310.291,,9918.218,,2842047.000,,-,802613.000,88983.000,1664988.000,,186793.000,,,9520442.643,,1845162.656,,66545.547,,3428.940,1111573.680,,105167.100,,,8420.263,12338.229,9486336.993
2006Jan,329449.000,296815.192,,9233.316,,2839707.000,,-,774420.000,88671.000,1641620.000,,188791.000,,,9432671.624,,1829124.185,,65086.465,,3420.836,1099522.286,,105294.740,,,8616.763,11894.381,9399506.327
2005Dec,329142.000,291907.477,4252.378,9332.171,27622.410,2815551.000,451649.085,1618.277,765300.000,89073.000,1653323.000,,183783.000,-,50625.033,9405037.092,,1813875.341,3508.040,71317.820,1358.798,3430.487,1106831.155,103489.598,104636.130,1653.125,292931.352,8403.444,12580.873,9371290.118
2005Nov,326766.000,291326.868,,9312.990,,2832493.000,,-,750312.000,88362.000,1646094.000,,185115.000,,,9382830.313,,1816070.052,,68567.469,,3433.042,1096111.460,,107519.730,,,8258.767,12469.740,9349355.773
2005Oct,325145.000,291744.731,,9072.686,,2820727.000,,-,728683.000,86908.000,1626998.000,,182546.000,,,9287298.877,,1798412.813,,67188.590,,3440.536,1086153.128,,103373.860,,,8132.002,11806.725,9254846.928
2005Sep,328729.000,292720.864,,9070.133,,2816284.000,,-,711938.000,86586.000,1625201.000,,180991.000,,,9247028.437,,1789438.778,,68158.930,,3440.047,1074228.843,,106678.700,,,8096.287,11712.927,9214709.044
2005Aug,327467.000,297792.538,,8978.879,,2817311.000,,-,689604.000,85512.000,1610549.000,,176441.000,,,9186581.650,,1789312.206,,67488.564,,3434.510,1056324.919,,105430.190,,,7877.938,11545.874,9154744.449
2005Jul,327424.000,298814.341,,8874.172,,2824431.000,,-,687344.000,85347.000,1609984.000,,176087.000,,,9188400.170,,1796918.866,,65331.867,,3358.577,1051686.694,,103603.380,,,7893.387,11433.646,9156840.388
2005Jun,326853.000,297113.261,,8823.017,,2797157.000,,-,693393.000,85226.000,1618316.000,,173949.000,,,9195139.928,,1812277.887,,64854.033,,3359.373,1065276.059,,100563.190,,,7732.968,11479.466,9163745.104
2005May,323309.000,294446.895,,8217.014,,2768419.000,,-,654823.000,85057.000,1590505.000,,175636.000,,,9030401.789,,1780067.257,,61195.798,,3397.727,1042282.322,,100138.260,,,8282.247,11062.245,8999442.557
2005Apr,316071.000,296325.837,,8044.001,,2762265.000,,-,645501.000,79622.000,1565044.000,,173107.000,,,8939999.097,,1773444.733,,59732.312,,3293.832,1021531.477,,98768.520,,,8008.312,11421.359,8909231.593
2005Mar,314031.000,297291.328,,7805.337,,2721369.000,,-,632123.000,81282.000,1572209.000,,166733.000,,,8864873.554,,1762741.324,,61381.619,,3285.190,1009298.030,,100936.970,,,8122.309,11738.674,8833922.044
2005Feb,308537.000,298128.677,,7805.755,,2703915.000,,-,613789.000,80922.000,1557624.000,,168490.000,,,8795262.143,,1748332.661,,59593.404,,3177.196,1012570.792,,100738.900,,,7842.226,11733.478,8764703.488
2005Jan,305487.000,300259.359,,7892.661,,2690190.000,,-,596742.000,80851.000,1529305.000,,162721.000,,,8690001.519,,1722153.956,,58107.081,,3186.762,1005089.241,,99809.870,,,7685.811,11653.692,8659582.593
2004Dec,299165.000,298170.777,4792.429,7612.069,19916.182,2674519.000,410453.702,1611.979,588367.000,80974.000,1526976.000,,160303.000,-,41314.602,8602774.412,,1700082.925,3161.453,56409.266,1234.687,3149.224,986359.705,74597.093,99469.140,3420.738,258363.745,7502.493,11495.033,8573015.593
2004Nov,297891.000,297318.493,,7570.319,,2691399.000,,-,567297.000,81094.000,1520346.000,,158981.000,,,8592258.616,,1707661.238,,55213.131,,3170.437,983597.744,,99704.330,,,7226.645,11660.647,8562630.567
2004Oct,297962.000,303955.043,,7325.239,,2683488.000,,-,550899.000,80141.000,1502693.000,,158866.000,,,8541222.322,,1700426.920,,56638.100,,3127.682,977551.882,,99825.760,,,7198.738,11318.428,8512252.236
2004Sep,304439.000,308040.608,,7312.370,,2670772.000,,-,549129.000,80330.000,1500092.000,,159036.000,,,8517114.840,,1697048.189,,58491.588,,3151.320,963879.694,,99469.130,,,7058.148,11432.970,8488160.033
2004Aug,303647.000,306283.836,,7273.987,,2666824.000,,-,541706.000,80798.000,1487670.000,,156832.000,,,8468487.264,,1682603.217,,54767.069,,3178.789,966306.808,,99095.210,,,6955.403,10990.592,8440088.492
2004Jul,301636.000,306923.944,,7221.456,,2652926.000,,-,540714.000,80895.000,1490492.000,,154880.000,,,8451987.913,,1680211.703,,53864.100,,3065.552,966796.177,,102876.020,,,6886.313,10631.577,8424183.015
2004Jun,301021.000,304306.652,,6708.512,,2624063.000,,-,534474.000,82208.000,1497174.000,,153713.000,,,8410343.031,,1681686.042,,53135.130,,3120.551,962601.681,,100786.890,,,6876.125,10534.597,8383103.245
2004May,297591.000,307036.552,,6332.991,,2625154.000,,-,513603.000,82861.000,1480865.000,,151021.000,,,8338669.872,,1660914.492,,50295.100,,2972.010,956861.470,,100180.410,,,6942.003,10674.669,8311748.198
2004Apr,294530.000,301545.869,,5989.770,,2595520.000,,-,513429.000,77215.000,1460488.000,,149217.000,,,8241352.500,,1641803.808,,50789.100,,2975.484,952826.666,,99684.410,,,6896.599,9403.630,8216087.018
2004Mar,290827.000,307292.436,,5924.599,,2577178.000,,-,504796.000,76113.000,1460665.000,,144349.000,,,8183395.214,,1629714.447,,48083.100,,3013.908,944364.902,,99892.400,,,6780.232,9313.699,8158362.776
2004Feb,283111.000,307955.675,,5857.755,,2554802.000,,-,490398.000,77407.000,1449378.000,,146269.000,,,8113114.350,,1620177.679,,48635.100,,2999.674,940235.095,,98749.330,,,6719.357,9150.699,8088386.864
2004Jan,282380.000,309447.222,,5868.300,,2523030.000,,-,477176.000,77679.000,1442343.000,,136884.000,,,8027491.670,,1605408.668,,47787.762,,2988.413,931820.793,,99699.550,,,6615.730,9164.542,8002854.684
2003Dec,280970.000,305413.240,5199.746,-,,2500464.000,359781.073,658.599,470862.000,77208.000,1437429.000,,137510.000,-,,7962565.411,,1593420.703,2695.198,47151.100,977.445,-,933254.228,56743.007,99997.950,2979.082,248491.740,6648.918,8823.345,7947093.148
2003Nov,282696.000,305539.850,,-,,2514086.000,,-,460029.000,77683.000,1436835.000,,138744.000,,,7978885.626,,1603274.482,,53268.614,,-,932419.918,,98915.210,,,6648.161,8896.180,7963341.286
2003Oct,282762.000,306054.395,,-,,2506451.000,,-,455628.000,80470.000,1427556.000,,137062.000,,,7935567.509,,1590198.083,,52640.300,,-,924425.982,,99354.230,,,6657.776,8607.129,7920302.604
2003Sep,279037.000,304899.669,,-,,2482575.000,,-,445303.000,78866.000,1430074.000,,136383.000,,,7876242.860,,1594834.379,,50445.500,,-,907500.343,,97476.220,,,6513.615,8521.664,7861207.581
2003Aug,277695.000,305782.280,,-,,2474901.000,,-,433642.000,79760.000,1411161.000,,136254.000,,,7821678.646,,1580380.244,,51052.600,,-,905314.432,,97989.410,,,6530.121,8338.721,7806809.803
2003Jul,274357.000,306052.534,,-,,2470540.000,,-,436772.000,79727.000,1406909.000,,135435.000,,,7793548.524,,1574543.085,,49374.600,,-,893732.152,,98901.650,,,6492.740,8306.759,7778749.025
2003Jun,278256.000,303479.395,,-,,2451300.000,,-,436356.000,79671.000,1410676.000,,134409.000,,,7751627.466,,1575094.783,,47731.500,,-,868359.850,,99387.810,,,6675.401,8332.718,7736619.347
2003May,274169.000,304283.861,,-,,2440770.000,,-,427435.000,79276.000,1388188.000,,131473.000,,,7679169.341,,1572889.843,,46426.500,,-,849748.719,,99823.040,,,6696.921,8385.100,7664087.321
2003Apr,270561.000,301937.960,,-,,2431132.000,,-,426989.000,74957.000,1368539.000,,129191.000,,,7619516.183,,1568233.826,,46944.500,,-,842520.398,,99263.210,,,6706.877,8279.517,7604529.789
2003Mar,270639.000,299065.055,,-,,2421806.000,,-,415291.000,76436.000,1371386.000,,129789.000,,,7589056.002,,1559920.743,,46857.500,,-,838439.518,,102059.410,,,6618.104,7775.201,7574662.697
2003Feb,270244.000,313668.402,,-,,2401961.000,,-,405540.000,77188.000,1353054.000,,127067.000,,,7534378.680,,1549262.252,,46466.900,,-,837546.220,,99429.300,,,6492.454,7821.058,7520065.168
2003Jan,268851.000,314680.004,,-,,2391714.000,,-,401474.000,75074.000,1336097.000,,127450.000,,,7476334.292,,1535855.767,,43912.919,,-,832508.997,,96925.590,,,6398.940,7735.031,7462200.321
2002Dec,268516.000,310285.322,5773.016,-,,2378011.000,335910.915,492.664,408140.000,76845.000,1327667.000,,121936.000,-,,7403523.770,,1530850.488,2276.727,44411.982,905.322,-,803500.640,51302.407,97190.210,1147.104,149702.386,6372.560,7474.383,7389676.827
2002Nov,269056.000,312370.318,,-,,2407672.000,,-,405489.000,75944.000,1329996.000,,123216.000,,,7455027.547,,1559550.939,,45954.118,,-,792377.500,,97445.330,,,6325.886,7309.654,7441392.007
2002Oct,267723.000,310145.238,,-,,2394706.000,,-,400539.000,76335.000,1334610.000,,122233.000,,,7420262.656,,1551520.943,,45813.095,,-,783814.020,,97945.050,,,5805.491,7365.815,7407091.350
2002Sep,268520.000,307808.969,,-,,2399001.000,,-,393046.000,77934.000,1323233.000,,121570.000,,,7390050.488,,1542957.065,,44405.600,,-,777576.420,,96943.240,,,5579.994,7325.758,7377144.735
2002Aug,270674.000,308171.415,,-,,2374487.000,,-,384235.000,79935.000,1328110.000,,120142.000,,,7373954.590,,1537328.079,,43448.358,,-,793889.660,,96941.330,,,5671.532,7213.992,7361069.066
2002Jul,271203.000,305857.307,,-,,2374886.000,,-,382377.000,80257.000,1331990.000,,119915.000,,,7370337.957,,1535219.103,,43804.712,,-,792709.360,,96255.730,,,5676.265,7100.328,7357561.364
2002Jun,268442.000,306411.312,,-,,2363031.000,,-,386926.000,79749.000,1338979.000,,118797.000,,,7339513.160,,1524523.363,,40362.620,,-,781422.910,,95690.780,,,5575.588,7171.108,7326766.464
2002May,268031.000,307513.540,,-,,2358558.000,,-,383439.000,80863.000,1326610.000,,116763.000,,,7328717.527,,1513368.890,,44643.666,,-,799227.570,,94999.630,,,5526.352,7250.943,7315940.232
2002Apr,268081.000,309405.423,,-,,2348377.000,,-,379656.000,79023.000,1309485.000,,116566.000,,,7278014.966,,1509809.498,,43763.441,,-,785573.580,,94149.460,,,5482.314,7417.424,7265115.228
2002Mar,266903.000,311174.236,,-,,2326845.000,,-,377279.000,79189.000,1313938.000,,113547.000,,,7240637.202,,1505559.198,,43534.600,,-,775702.250,,93437.780,,,5440.544,7453.001,7227743.656
2002Feb,262479.000,311489.831,,-,,2310838.000,,-,368239.000,78830.000,1311606.000,,113892.000,,,7180450.681,,1483428.783,,42765.600,,-,770311.940,,93967.250,,,5295.899,7317.606,7167837.176
2002Jan,261300.000,312702.035,,-,,2293981.000,,-,372364.000,78815.000,1300943.000,,110075.000,,,7146053.013,,1471603.757,,40888.600,,-,778809.090,,92620.550,,,5207.853,7131.638,7133713.522
2001Dec,255781.000,308827.183,,-,,2275116.000,322881.954,338.438,372894.000,79282.000,1281710.000,,106980.000,,,7073422.062,,1463082.089,1776.030,41973.600,,-,765572.990,,90601.520,,145761.730,4977.984,6991.679,7061452.400
2001Nov,251322.000,312411.266,,-,,2272477.000,,-,371682.000,79109.000,1277046.000,,110415.000,,,7036227.778,,1454820.576,,42592.670,,-,742648.670,,90241.790,,,4926.815,6902.412,7024398.552
2001Oct,249486.000,312725.469,,-,,2263138.000,,-,367696.000,78643.000,1255559.000,,110083.000,,,6981047.995,,1448644.622,,42020.019,,-,731184.070,,90481.540,,,4902.917,6894.076,6969251.002
2001Sep,245884.000,314430.838,,-,,2250979.000,,-,359634.000,79399.000,1259335.000,,108939.000,,,6941166.464,,1436106.285,,41196.670,,-,722153.860,,89837.240,,,4724.353,6892.515,6929549.596
2001Aug,244153.000,311477.841,,-,,2240318.000,,-,357435.000,83236.000,1246899.000,,108697.000,,,6922891.709,,1435050.782,,40978.865,,-,731638.750,,89688.410,,,4745.613,6952.610,6911193.486
2001Jul,244240.000,310347.386,,-,,2238353.000,,-,357193.000,83157.000,1243047.000,,108842.000,,,6918386.845,,1435306.644,,41862.309,,-,733235.270,,89142.090,,,5070.716,6972.291,6906343.837
2001Jun,245758.000,311514.830,,-,,2215003.000,,-,351277.000,84005.000,1245342.000,,107381.000,,,6882808.043,,1435858.934,,41918.670,,-,721929.130,,88908.370,,,5061.001,7072.981,6870674.061
2001May,243711.000,310233.322,,-,,2206750.000,,-,345014.000,84745.000,1227564.000,,107092.000,,,6824096.556,,1428175.515,,42687.045,,-,706812.020,,87382.530,,,5034.702,7057.895,6812003.959
2001Apr,241259.000,310005.881,,-,,2196389.000,,-,342944.000,81163.000,1213690.000,,106419.000,,,6748285.178,,1408590.477,,41140.670,,-,686527.160,,86229.830,,,5004.383,7111.150,6736169.645
2001Mar,239858.000,310500.520,,-,,2189925.000,,-,340779.000,81154.000,1203232.000,,105163.000,,,6708800.622,,1400887.564,,41614.563,,-,676135.160,,86129.140,,,4530.277,7131.939,6697138.406
2001Feb,237974.000,311529.307,,-,,2178032.000,,-,334925.000,81554.000,1188807.000,,104099.000,,,6644098.086,,1382827.972,,40423.470,,-,666165.460,,84962.200,,,4491.266,6531.549,6633075.271
2001Jan,234412.000,313018.221,,-,,2160380.000,,-,334602.000,82676.000,1173257.000,,103473.000,,,6586165.941,,1369872.317,,39873.960,,-,658361.410,,83791.630,,,4218.366,6447.644,6575499.931
2000Dec,228490.000,308527.891,6214.361,-,,2165686.000,292661.456,312.002,340668.000,81002.000,1175741.000,,94038.785,-,,6570901.930,,1363637.462,1358.994,38497.017,518.251,-,659819.990,29465.765,83640.600,2005.876,167623.113,4249.252,5119.459,6467494.434
2000Nov,232938.000,312115.466,,-,,2166633.000,,-,340094.000,80443.000,1175645.000,,93966.629,,,6596541.485,,1376622.527,,39045.542,,-,663513.070,,84129.660,,,4470.418,5122.334,6492982.104
2000Oct,233197.000,308856.296,,-,,2165583.000,,-,337679.000,81176.000,1167197.000,,93280.324,,,6580539.676,,1372820.085,,40832.566,,-,664404.200,,83984.540,,,4508.682,5126.469,6477624.200
2000Sep,230189.000,308241.292,,-,,2149900.000,,-,334346.000,82236.000,1162622.000,,91977.067,,,6527025.756,,1365362.167,,39363.780,,-,645735.940,,83820.280,,,4479.674,5152.756,6425416.258
2000Aug,227283.000,304641.922,,-,,2145383.000,,-,332343.000,83635.000,1153318.000,,91260.825,,,6486295.956,,1360695.895,,38119.780,,-,633331.720,,83177.430,,,4476.708,5200.268,6385358.154
2000Jul,223425.000,304222.965,,-,,2136869.000,,-,329887.000,83846.000,1140373.000,,90195.277,,,6422384.889,,1348387.529,,35670.792,,-,614387.050,,82280.870,,,4447.250,5136.392,6322605.970
2000Jun,221006.000,303987.446,,-,,2110638.000,,-,324834.000,83222.000,1136793.000,,89713.321,,,6362035.958,,1347913.316,,36381.780,,-,593533.950,,81347.670,,,4534.020,5023.656,6262764.961
2000May,219323.000,305541.300,,-,,2106744.000,,-,320543.000,84680.000,1132394.000,,88321.244,,,6329131.067,,1337122.036,,36790.681,,-,583329.450,,81543.390,,,4547.346,5075.562,6231186.915
2000Apr,217667.000,305935.104,,-,,2083654.000,,-,317141.000,85072.000,1130755.000,,87591.612,,,6297335.436,,1333828.635,,36019.941,,-,585423.360,,81351.180,,,4542.057,5375.447,6199826.320
2000Mar,213197.000,305700.237,,-,,2066822.000,,-,319159.000,84499.000,1123161.000,,85795.984,,,6245304.390,,1319935.048,,35849.827,,-,576692.490,,81511.310,,,4504.268,4598.151,6150405.986
2000Feb,210338.000,303578.459,,-,,2058230.000,,-,321435.000,83113.000,1117697.000,,84890.404,,,6191606.992,,1298088.915,,33778.387,,-,566980.530,,81203.060,,,4104.941,4450.875,6098160.772
2000Jan,209283.000,304927.042,,-,,2041425.000,,-,316555.000,79606.000,1107583.000,,83951.345,,,6136042.810,,1283274.000,,34094.202,,-,562641.800,,81038.960,,,3937.799,4138.230,6044015.435
1999Dec,202607.000,300811.227,,-,,2031086.000,284055.461,-,314472.000,81243.000,1111534.000,,80615.365,,,6106716.245,,1280755.398,,33963.686,,-,559329.610,,78688.510,,190096.934,3950.663,4030.694,6018119.523
1999Nov,199175.000,301157.421,,-,,2045384.000,,-,310738.000,81262.000,1122332.000,,84039.109,,,6138196.964,,1291000.045,,32455.135,,-,560177.610,,78903.490,,,3840.702,4064.225,6046252.928
1999Oct,197607.000,300556.082,,-,,2035558.000,,-,305448.000,80341.000,1117078.000,,82988.769,,,6099988.527,,1281797.180,,34435.665,,-,552862.880,,80091.800,,,3792.885,4002.729,6009204.144
1999Sep,194184.000,300961.067,,-,,2022729.000,,-,303659.000,80381.000,1102734.000,,82314.366,,,6048561.049,,1276926.890,,32986.557,,-,540934.480,,79554.860,,,3949.223,4006.832,5958290.628
1999Aug,192571.000,296998.629,,-,,2004715.000,,-,301799.000,80740.000,1093293.000,,81140.573,,,5982878.967,,1267912.574,,33144.296,,-,521750.230,,77893.620,,,3942.022,3886.975,5893909.397
1999Jul,192005.000,296993.333,,-,,1991515.000,,-,297991.000,80820.000,1086914.000,,81565.856,,,5954894.459,,1267814.842,,32441.925,,-,520339.870,,75836.620,,,3898.525,3814.209,5865615.869
1999Jun,187519.000,297128.463,,-,,1973600.000,,-,296316.000,81034.000,1075353.000,,80444.583,,,5915610.252,,1266419.592,,32346.980,,-,518148.230,,76639.380,,,3960.181,3786.217,5827419.271
1999May,184962.000,299324.991,,-,,1968659.000,,-,292865.000,81269.000,1061074.000,,79452.862,,,5855625.964,,1256738.209,,32183.483,,-,493587.870,,75335.020,,,3945.576,3262.278,5768965.248
1999Apr,182230.000,300678.501,,-,,1949643.000,,-,288093.000,81354.000,1056445.000,,78251.571,,,5795042.966,,1244697.881,,31481.307,,-,481247.020,,74792.890,,,3927.813,3227.511,5709636.071
1999Mar,180060.000,301353.337,,-,,1929455.000,,-,289501.000,80622.000,1062842.000,,76911.031,,,5758778.967,,1235752.756,,30177.336,,-,470284.220,,74220.420,,,3951.920,2991.530,5674924.486
1999Feb,180072.000,302694.177,,-,,1912343.000,,-,283611.000,80415.000,1053938.000,,75378.503,,,5708666.825,,1229364.872,,28357.894,,-,462454.740,,73072.510,,,3515.254,2946.688,5626826.380
1999Jan,176851.000,296372.303,,-,,1898859.000,,-,278967.000,80365.000,1039670.000,,74530.014,,,5644866.749,,1218700.274,,28701.206,,-,452580.370,,72417.440,,,3537.446,2983.758,5563815.530
1998Dec,157181.000,297839.949,,-,,1864592.000,271833.137,-,274420.000,80869.000,1033006.000,,70002.375,,,5552534.412,,1213367.444,,26542.312,,-,436277.258,,71530.960,,179108.940,3527.847,3014.652,5475989.539
1998Nov,152947.000,303829.068,,,,1873172.000,,,276468.000,81508.000,1025474.000,,67938.776,,,5552176.529,,1217741.970,,23921.064,,,433831.158,,71809.810,,,,3111.398,5481126.355
1998Oct,152665.000,303089.720,,,,1856983.000,,,283851.000,81428.000,1027375.000,,65738.250,,,5535275.367,,1209861.465,,26113.195,,,432316.371,,71508.830,,,,3197.651,5466339.466
1998Sep,152632.000,301503.932,,,,1847785.000,,,278225.000,80430.000,1034406.000,,65978.140,,,5523170.270,,1207828.672,,24888.689,,,434447.024,,70833.930,,,,3181.894,5454010.236
1998Aug,152701.000,300796.493,,,,1839235.000,,,277113.000,80841.000,1032634.000,,65615.677,,,5503765.559,,1202234.632,,25123.633,,,432674.822,,70374.500,,,,3230.737,5434919.145
1998Jul,152068.000,301292.060,,,,1826966.000,,,279830.000,79926.000,1027455.000,,65152.210,,,5475629.575,,1193887.726,,25835.208,,,429382.322,,69665.970,,,,3215.994,5407261.372
1998Jun,151280.000,302589.883,,,,1797446.000,,,274436.000,80695.000,1018579.000,,63562.833,,,5434611.882,,1192229.408,,27325.691,,,432999.721,,69328.980,,,,3123.138,5367925.911
1998May,150372.000,303841.646,,,,1785712.000,,,267325.000,79429.000,1019958.000,,62681.124,,,5398432.305,,1178822.817,,29606.233,,,427688.065,,68295.850,,,,3040.224,5332710.957
1998Apr,149380.000,303014.348,,,,1773543.000,,,261903.000,78330.000,1022000.000,,61467.486,,,5353378.466,,1161507.511,,30042.992,,,420812.709,,67069.480,,,,2492.924,5289418.056
1998Mar,146850.000,302563.000,,,,1753743.000,,,257087.000,78885.000,1013244.000,,60716.669,,,5305706.091,,1156243.842,,29755.167,,,415962.034,,66461.390,,,,2434.834,5242554.588
1998Feb,146201.000,303643.511,,,,1742717.000,,,253488.000,79887.000,1017453.000,,59927.747,,,5279674.444,,1145788.678,,28576.297,,,412715.629,,65441.710,,,,2427.891,5217318.806
1998Jan,143997.000,304543.350,,,,1725734.000,,,249911.000,79342.000,1003772.000,,59758.193,,,5220888.976,,1134330.271,,27025.015,,,404713.678,,63880.150,,,,2428.135,5158702.648
1997Dec,150223.000,305203.885,,,,1708447.000,,,245311.000,79047.000,1000537.000,,59918.848,,,5189203.767,,1132623.292,,28126.389,,,391558.360,,64340.190,,,,2428.127,5126856.793
1997Nov,150262.000,302264.516,,,,1710389.000,,,242141.000,78980.000,1006995.000,,60626.976,,,5182694.070,,1133524.399,,25761.287,,,384535.019,,63300.470,,,,2428.474,5119638.621
1997Oct,149484.000,302297.019,,,,1696904.000,,,238734.000,78941.000,1011192.000,,60613.536,,,5163864.252,,1126872.704,,28899.936,,,382279.031,,63698.750,,,,2416.092,5100834.624
1997Sep,148355.000,302449.942,,,,1695453.000,,,234023.000,77693.000,1003671.000,,58677.899,,,5134779.364,,1114471.558,,28558.332,,,382248.755,,65183.580,,,,2415.861,5073685.604
1997Aug,148026.000,302789.116,,,,1690534.000,,,231547.000,76449.000,999853.000,,56496.328,,,5107969.071,,1101837.712,,28335.194,,,383130.160,,64726.500,,,,2508.203,5048964.540
1997Jul,147920.000,304762.043,,,,1682426.000,,,228697.000,76176.000,1004293.000,,56039.022,,,5100032.503,,1100827.144,,27880.848,,,382066.644,,64544.920,,,,2504.604,5041488.878
1997Jun,145505.000,303942.821,,,,1671642.000,,,226046.000,76202.000,998159.000,,54579.628,,,5048463.425,,1082724.573,,27626.753,,,373913.678,,63530.550,,,,2537.722,4991346.075
1997May,145631.000,303862.121,,,,1656609.000,,,225535.000,76683.000,994888.000,,53073.618,,,5012903.008,,1075396.341,,27420.098,,,366567.148,,62635.480,,,,2637.470,4957191.921
1997Apr,145236.000,305639.131,,,,1646706.000,,,220753.000,76618.000,986462.000,,51019.767,,,4965519.166,,1060113.006,,27258.241,,,364150.513,,57054.900,,,,2632.841,4911866.558
1997Mar,142740.000,306026.091,,,,1635095.000,,,216323.000,76307.000,973979.000,,50432.040,,,4923389.746,,1054665.508,,26866.521,,,360542.460,,56030.860,,,,2595.465,4870362.241
1997Feb,141920.000,305149.342,,,,1619189.000,,,214644.000,76794.000,974724.000,,49183.148,,,4884094.775,,1038494.586,,26133.044,,,358197.664,,55600.670,,,,2625.082,4832286.544
1997Jan,140537.000,304906.017,,,,1602869.000,,,216679.000,75246.000,962280.000,,48397.790,,,4827783.237,,1021348.438,,25721.234,,,349963.770,,56155.690,,,,2585.623,4776799.824
1996Dec,138703.000,305576.939,,,,1578580.000,,,214349.000,73943.000,955125.000,,45487.754,,,4775993.304,,1014303.565,,25558.783,,,345166.982,,55948.010,,,,2504.158,4728001.392
1996Nov,139014.000,301157.173,,,,1577137.000,,,210839.000,73881.000,949782.000,,45817.759,,,4744121.695,,1000290.956,,23557.346,,,344654.434,,54727.290,,,,2418.296,4695885.641
1996Oct,139825.000,299563.790,,,,1560870.000,,,211299.000,72587.000,947380.000,,44693.460,,,4712854.462,,990782.867,,24822.958,,,341998.220,,55682.830,,,,2405.567,4665755.435
1996Sep,139338.000,299047.169,,,,1554115.000,,,207704.000,72283.000,949626.000,,45166.075,,,4691765.613,,981741.100,,24282.526,,,339625.898,,55405.380,,,,2389.366,4644210.172
1996Aug,136250.000,297407.472,,,,1542922.000,,,205433.000,74076.000,943147.000,,43708.125,,,4652311.363,,972531.215,,24019.887,,,333890.565,,55228.480,,,,2440.976,4606162.262
1996Jul,131498.000,296385.445,,,,1533676.000,,,206959.000,74169.000,937072.000,,42813.706,,,4624904.789,,963466.329,,23877.330,,,334400.327,,56693.310,,,,2423.156,4579667.927
1996Jun,130614.000,295987.075,,,,1527733.000,,,204046.000,74001.000,928822.000,,41482.840,,,4590246.005,,950684.646,,23846.852,,,333216.899,,55804.870,,,,2321.093,4546442.072
1996May,120828.000,296111.120,,,,1521343.000,,,201440.000,74749.000,919621.000,,40644.389,,,4555987.015,,946438.132,,23534.916,,,332417.148,,55287.940,,,,2324.658,4513017.968
1996Apr,120558.000,294688.427,,,,1505212.000,,,199977.000,75193.000,922721.000,,39673.696,,,4523376.295,,936407.487,,23144.916,,,329150.640,,53521.100,,,,2319.335,4481383.265
1996Mar,125825.000,295343.258,,,,1495865.000,,,201082.000,73121.000,910461.000,,38978.822,,,4485231.188,,923675.009,,22726.204,,,322633.677,,52849.340,,,,2299.200,4443953.166
1996Feb,121210.000,295564.280,,,,1490510.000,,,199663.000,73624.000,910407.000,,38358.395,,,4459314.244,,917052.705,,22306.199,,,316043.360,,52318.520,,,,2206.071,4418749.778
1996Jan,118416.000,294283.261,,,,1478257.000,,,196146.000,72344.000,906644.000,,37285.408,,,4422500.560,,908711.759,,22056.119,,,314416.034,,51936.190,,,,2275.038,4382940.114
1995Dec,127831.000,294152.606,,,,1457299.000,,,193093.000,71564.000,904058.000,,36615.401,,,4417941.994,,931429.337,,22029.267,,,306886.753,,52074.960,,,,1499.882,4379826.710
